question_id,english,japanese,vietnamese,
1,I am the life of the party.,私はパーティーの中心人物だ。,Tôi là trung tâm của bữa tiệc.,
2,I feel little concern for others.,他人への関心はほとんどない。,Tôi ít quan tâm đến người khác.,
3,I am always prepared.,いつも準備万端だ。,Tôi luôn chuẩn bị sẵn sàng.,
4,I get stressed out easily.,すぐにストレスを感じる。,Tôi dễ bị căng thẳng.,
5,I have a rich vocabulary.,語彙が豊富だ。,Tôi có vốn từ vựng phong phú.,
6,I don't talk a lot.,あまり話さない。,Tôi không nói nhiều.,
7,I am interested in people.,人々に興味がある。,Tôi quan tâm đến mọi người.,
8,I leave my belongings around.,持ち物をあちこちに置き忘れる。,Tôi hay để đồ đạc lung tung.,
9,I am relaxed most of the time.,ほとんどの場合、リラックスしている。,Tôi thấy thư giãn hầu hết thời gian.,
10,I have difficulty understanding abstract ideas.,抽象的な考えを理解するのが難しい。,Tôi gặp khó khăn khi hiểu các ý tưởng trừu tượng.,
11,I feel comfortable around people.,人前で気楽に感じる。,Tôi cảm thấy thoải mái khi ở gần mọi người.,
12,I insult people.,人を侮辱する。,Tôi xúc phạm người khác.,
13,I pay attention to details.,細部にまで注意を払う。,Tôi chú ý đến chi tiết.,
14,I worry about things.,私は物事をあれこれ心配しがちだ。,Tôi lo lắng về mọi thứ.,
15,I have a vivid imagination.,鮮やかな想像力を持っている。,Tôi có trí tưởng tượng sống động.,
16,I keep in the background.,目立たないようにしている。,Tôi thích ở phía sau.,
17,I sympathize with others' feelings.,他人の気持ちに共感する。,Tôi thông cảm với cảm xúc của người khác.,
18,I make a mess of things.,物事を台無しにする。,Tôi làm mọi thứ rối tung lên.,
19,I seldom feel blue.,めったに落ち込まない。,Tôi hiếm khi cảm thấy buồn.,
20,I am not interested in abstract ideas.,抽象的な考えに興味がない。,Tôi không quan tâm đến các ý tưởng trừu tượng.,
21,I start conversations.,私は自分から話しかけるほうだ。,Tôi bắt đầu cuộc trò chuyện.,
22,I am not interested in other people's problems.,他人の問題に興味がない。,Tôi không quan tâm đến vấn đề của người khác.,
23,I get chores done right away.,雑用をすぐに片付ける。,Tôi hoàn thành công việc ngay lập tức.,
24,I am easily disturbed.,すぐに動揺する。,Tôi dễ bị xáo trộn.,
25,I have excellent ideas.,素晴らしいアイデアを持っている。,Tôi có những ý tưởng tuyệt vời.,
26,I have little to say.,話すことがほとんどない。,Tôi có ít điều để nói.,
